thscode,2023-11-15,2023-11-16,2023-11-17,2023-11-20,2023-11-21,2023-11-22,2023-11-23,2023-11-24,2023-11-27,2023-11-28,2023-11-29,2023-11-30,2023-12-01,2023-12-04,2023-12-05,2023-12-06,2023-12-07,2023-12-08,2023-12-11,2023-12-12,2023-12-13,2023-12-14,2023-12-15
000001.SZ,0.97370983446932,-1.2536162005786,-0.87890625,0.39408866995073,0.88321884200196,-1.1673151750973,-0.098425196850392,-0.49261083743843,-0.89108910891089,-0.5994005994006,-2.3115577889447,-0.41152263374487,-0.20661157024793,-0.31055900621117,-1.5576323987539,0.21097046413502,-0.63157894736843,-1.4830508474576,0.53763440860214,0.74866310160428,-2.76008492569,-0.10917030567685,0.65573770491804
000002.SZ,0.93378607809848,-0.7569386038688,-1.5254237288136,-0.43029259896729,3.0250648228176,-0.67114093959732,2.7871621621622,-0.41084634346755,-2.6402640264026,-0.42372881355933,-2.468085106383,-0.17452006980804,-0.34965034965034,-1.9298245614035,-3.4883720930233,0.55607043558851,0.46082949308756,-1.1009174311927,-1.3914656771799,3.5747883349012,-3.3605812897366,-1.3157894736842,1.3333333333333
000004.SZ,-2.3148148148148,-1.8430753027909,-0.48283261802575,2.1024258760108,-2.5871172122492,-1.7344173441734,3.0888030888031,-3.5313001605136,0.33277870216305,-1.4372581536761,-1.7386427369602,-0.97031963470319,3.2853025936599,1.171875,-4.7435190292333,-1.4475969889983,1.5863689776733,-0.52053209947947,0.46511627906978,2.2569444444444,-2.2637238256933,-1.6213086276781,-1.2360211889347
000005.SZ,-0.70921985815603,1.4285714285714,-1.4084507042254,2.8571428571429,-1.3888888888889,1.4084507042254,0.69444444444445,-1.3793103448276,-2.0979020979021,0.0,0.0,0.0,0.0,0.71428571428571,0.0,-0.70921985815603,0.0,-1.4285714285714,-5.0724637681159,-5.3435114503817,-2.4193548387097,-4.9586776859504,-3.4782608695652
000006.SZ,-0.65934065934066,0.0,-0.44247787610619,0.22222222222222,9.9778270509978,10.08064516129,-7.5091575091575,-3.3663366336634,-4.0983606557377,-0.21367521367521,-1.7130620985011,0.87145969498911,0.86393088552916,-0.42826552462526,-0.86021505376344,3.9045553145336,0.62630480167015,-2.2821576763486,0.84925690021231,2.1052631578947,-1.2371134020618,1.4613778705637,0.20576131687242
000007.SZ,-0.39370078740158,-0.7905138339921,0.0,-0.19920318725099,-0.39920159680638,-0.2004008016032,0.80321285140561,-0.59760956175298,-2.0040080160321,0.61349693251534,-0.60975609756098,4.9079754601227,-2.1442495126706,-0.59760956175298,-0.80160320641283,-0.2020202020202,-0.80971659919028,-1.2244897959184,2.6859504132231,-0.80482897384306,0.0,0.40567951318459,0.60606060606061
000008.SZ,0.0,0.0,0.0,1.255230125523,0.82644628099174,-0.81967213114754,0.82644628099174,0.40983606557378,0.0,1.2244897959184,0.0,-0.80645161290323,0.40650406504066,0.40485829959513,-1.6129032258065,1.2295081967213,0.0,-2.834008097166,2.0833333333333,1.6326530612245,-0.40160642570282,-0.80645161290323,0.0
000009.SZ,1.9538188277087,-0.17421602787456,0.78534031413612,0.95238095238095,-0.085763293310461,0.17167381974249,-0.42844901456727,-0.25817555938037,0.86281276962899,0.51325919589393,-0.17021276595744,-0.34100596760444,-1.6253207869974,1.5652173913043,-0.42808219178081,0.77386070507309,0.51194539249146,0.59422750424448,0.84388185654008,-0.1673640167364,-0.67057837384744,-0.84388185654008,-0.85106382978723
000010.SZ,-1.7902813299233,-0.78125,-1.5748031496063,1.0666666666667,0.0,-3.1662269129288,0.2724795640327,-3.2608695652174,-3.6516853932584,-1.4577259475219,-1.4792899408284,1.5015015015015,2.0710059171598,0.0,-2.3188405797101,0.2967359050445,-1.4792899408284,-3.003003003003,1.5479876160991,0.60975609756098,-1.5151515151515,0.3076923076923,-1.2269938650307
000011.SZ,-0.20942408376965,-0.41972717733472,-0.42149631190728,0.84656084656085,3.3578174186779,5.4822335025381,-3.2723772858518,-2.2885572139304,-2.4439918533605,-0.93945720250522,-1.4752370916755,0.2139037433155,0.64034151547493,-0.42417815482502,-1.7039403620873,2.2751895991333,0.10593220338983,-3.1746031746032,0.32786885245901,2.3965141612201,-1.5957446808511,1.4054054054054,0.42643923240937
