thscode,2023-08-08,2023-08-09,2023-08-10,2023-08-11,2023-08-14,2023-08-15,2023-08-16,2023-08-17,2023-08-18,2023-08-21,2023-08-22,2023-08-23,2023-08-24,2023-08-25,2023-08-28,2023-08-29,2023-08-30,2023-08-31,2023-09-01,2023-09-04,2023-09-05,2023-09-06,2023-09-07,2023-09-08
000001.SZ,-0.49342105263158,0.57851239669422,-0.082169268693507,-2.2203947368421,-1.8502943650126,0.51413881748072,0.0,-1.3640238704177,-0.086430423509073,-2.0761245674741,0.4416961130742,-1.0554089709762,-1.0666666666667,0.8984725965858,2.5823686553873,-1.8229166666667,-1.5915119363395,0.0,1.707097933513,2.1201413427562,-1.4705882352941,0.35118525021948,-0.87489063867016,-0.52956751985879
000002.SZ,-1.0183299389002,0.82304526748971,0.34013605442177,-1.0169491525424,-1.3698630136986,-0.7638888888889,1.7494751574528,-0.068775790921594,-1.5141087405368,-2.3060796645702,0.28612303290414,-1.4265335235378,-0.79594790159189,3.0674846625767,4.5386904761905,1.067615658363,0.0,-3.943661971831,3.0058651026393,-0.07117437722421,-1.1396011396011,2.0893371757925,-1.1997177134792,-0.64285714285714
000004.SZ,-5.2905054322154,3.142144638404,-9.6228239845261,-5.2969502407705,5.0282485875706,-2.5820333512641,-3.3683048039757,0.85714285714285,-5.6657223796034,0.7807807807808,3.2777115613826,0.98095787651472,-3.0285714285714,-8.6623453152622,-1.4193548387097,3.7958115183246,4.2244640605296,-0.36297640653359,-1.0321797207043,2.4539877300613,0.23952095808383,-0.1194743130227,0.7775119617225,-0.65281899109794
000005.SZ,-1.4285714285714,3.6231884057971,0.6993006993007,-2.0833333333333,1.4184397163121,3.4965034965035,1.3513513513514,-1.3333333333333,0.67567567567568,-2.0134228187919,-4.7945205479452,-2.158273381295,-0.73529411764706,-0.74074074074074,1.4925373134328,3.6764705882353,0.70921985815603,-0.70422535211268,1.4184397163121,2.7972027972028,-2.0408163265306,0.0,-2.0833333333333,0.70921985815603
000006.SZ,-1.5841584158416,0.0,6.6398390342052,10.0,-9.9485420240137,2.8571428571429,8.7037037037037,-2.8960817717206,-5.4385964912281,-1.2987012987013,4.8872180451128,-3.584229390681,-0.18587360594795,-1.3035381750466,5.4716981132075,7.3345259391771,-3.1666666666667,-9.9827882960413,-5.1625239005736,0.0,-4.8387096774194,2.1186440677966,-0.62240663900415,-1.8789144050104
000007.SZ,2.6,-1.364522417154,0.59288537549408,1.9646365422397,-0.19267822736032,-0.19305019305019,-0.96711798839458,0.1953125,-0.58479532163743,-0.19607843137254,-1.3752455795678,-0.59760956175298,0.2004008016032,2.2,0.39138943248531,-0.19493177387914,-1.3671875,0.5940594059406,-1.3779527559055,-0.39920159680638,-0.60120240480962,-2.6209677419355,-2.2774327122153,1.0593220338983
000008.SZ,-1.2244897959184,-0.41322314049586,0.8298755186722,-1.6460905349794,0.418410041841,0.41666666666668,0.0,0.8298755186722,4.1152263374485,-2.3715415019763,-1.6194331983806,-2.4691358024691,-2.1097046413502,0.0,1.2931034482759,1.7021276595745,-1.255230125523,0.0,1.271186440678,3.347280334728,0.0,-1.2145748987854,-1.6393442622951,0.41666666666668
000009.SZ,-0.88888888888889,-0.089686098654707,0.4488330341113,-2.0554066130474,0.45620437956203,-1.180744777475,-0.5514705882353,0.36968576709796,-1.3812154696132,-0.28011204481794,-0.74906367041199,-3.1132075471698,-0.097370983446931,-1.6569200779727,1.189296333003,3.232125367287,2.561669829222,-1.3876040703053,-0.46904315196999,2.6390197926485,-0.7346189164371,0.09250693802035,-1.8484288354898,-1.0357815442561
000010.SZ,3.5714285714286,-4.4827586206897,-3.2490974729242,-2.9850746268657,-0.38461538461539,-0.77220077220077,1.556420233463,9.9616858237548,10.104529616725,10.126582278481,0.57471264367816,-10.0,-1.9047619047619,10.032362459547,10.0,-7.7540106951872,-7.536231884058,1.2539184952978,-2.1671826625387,-0.63291139240506,-1.5923566878981,-4.2071197411003,-3.0405405405405,1.7421602787456
000011.SZ,-0.77669902912621,-0.88062622309198,1.77690029615,5.0436469447139,-5.078485687904,-1.1673151750973,2.0669291338583,-0.77145612343298,-2.8182701652089,-1.7,1.1190233977619,-0.20120724346076,-1.7137096774194,0.92307692307692,8.130081300813,9.9624060150376,-1.6239316239316,-5.4735013032146,-1.3786764705882,-1.2115563839702,-5.188679245283,2.3880597014925,-0.68027210884352,-1.46771037182
000012.SZ,0.0,-0.1639344262295,-0.16420361247947,-1.4802631578947,-0.6677796327212,-0.50420168067227,0.0,0.0,-1.0135135135135,-0.51194539249147,-0.34305317324186,-1.2048192771084,-0.17421602787456,-1.2216404886562,1.7667844522968,1.2152777777778,3.7735849056604,-2.6446280991736,-0.67911714770798,1.025641025641,-0.84602368866328,-0.51194539249147,-1.3722126929674,-0.8695652173913
000014.SZ,-1.568068424804,-0.14482259232441,1.5228426395939,2.1428571428571,-4.0559440559441,-0.29154518950438,2.7777777777778,0.21337126600284,-3.4066713981547,-0.66127847171198,0.51775147928994,-0.80941869021339,-0.074183976261126,1.1878247958426,6.0161408657373,5.7439446366782,0.19633507853404,-7.7726975832789,-2.5495750708215,0.65406976744186,-4.187725631769,2.7128862094951,-1.540719002201,-2.8315946348733
000016.SZ,-0.63291139240507,-0.84925690021231,-0.42826552462526,-1.7204301075269,-1.7505470459519,-0.66815144766148,-0.89686098654709,1.131221719457,-2.0134228187919,-1.1415525114155,0.0,-2.3094688221709,0.0,-2.1276595744681,1.4492753623189,2.8571428571429,0.23148148148148,-0.69284064665128,0.69767441860466,1.6166281755196,-0.45454545454547,1.8264840182648,-2.914798206278,1.1547344110854
000017.SZ,0.21834061135371,-2.1786492374728,1.1135857461024,-0.88105726872247,0.22222222222222,0.22172949002217,-1.3274336283186,3.1390134529148,-1.7391304347826,-0.22123893805309,-1.5521064301552,-1.8018018018018,0.91743119266055,-0.90909090909091,1.3761467889908,3.393665158371,-0.218818380744,-1.3157894736842,0.44444444444443,2.212389380531,-1.2987012987013,1.5350877192983,-1.2958963282937,0.43763676148796
000019.SZ,-0.73982737361281,-1.7391304347826,0.37926675094817,-3.0226700251889,-1.6883116883117,-0.66050198150595,-0.13297872340425,0.26631158455393,-1.859229747676,-0.6765899864682,0.0,-0.5449591280654,1.0958904109589,-0.67750677506775,1.6371077762619,0.26845637583892,-1.4725568942436,-1.6304347826087,0.69060773480663,1.3717421124828,-0.54127198917456,0.68027210884355,-1.0810810810811,0.13661202185792
000020.SZ,-0.73891625615763,-1.4061207609595,0.33557046979867,-1.0869565217391,0.67624683009298,-1.007556675063,-1.7811704834606,2.5906735751295,-1.9360269360269,-0.60085836909871,-0.34542314335061,-1.5597920277296,0.88028169014086,-2.9668411867365,1.0791366906475,5.4270462633452,1.4345991561181,-0.083194675540764,-0.41631973355536,1.6722408026756,-0.082236842105261,1.0699588477366,-2.1986970684039,1.4154870940883
000021.SZ,-0.10626992561105,-4.2021276595745,0.27762354247639,-2.6578073089701,-0.11376564277588,-1.25284738041,-2.7104959630911,0.23710729104919,-1.0644589000591,-0.71727435744173,1.8061408789886,-3.3116499112951,4.0366972477064,-5.055849500294,0.86687306501548,5.1565377532228,4.6117921774664,-0.33482142857144,0.55991041433371,2.8396436525612,-0.32485110990795,1.0863661053775,-2.0419129500269,0.16456390565003
000023.SZ,-0.46296296296297,0.15503875968992,0.92879256965944,-1.0736196319018,-0.46511627906977,1.4018691588785,1.689708141321,1.3595166163142,1.043219076006,-1.7699115044248,-1.0510510510511,-3.9453717754173,-2.0537124802528,-1.2903225806452,0.0,2.9411764705882,0.47619047619048,-0.63191153238547,1.5898251192369,2.0344287949922,-3.0674846625767,0.47468354430379,-0.94488188976377,0.15898251192369
000025.SZ,-0.87463556851311,-0.58823529411766,0.0,-1.0059171597633,-0.17931858936044,-1.2574850299401,-2.2437841115828,1.1166253101737,-1.7791411042945,-0.93691442848221,-0.31525851197982,-0.75901328273245,0.0,-2.9955385595921,2.9566360052562,2.297383535418,-0.12476606363069,-1.5615240474703,2.0939086294416,0.18645121193288,-0.99255583126551,0.37593984962405,-1.6229712858926,-0.6979695431472
000026.SZ,0.76530612244898,-2.2784810126582,0.0,-2.0725388601036,-0.35273368606701,0.70796460176991,-0.79086115992972,1.8600531443756,-1.9130434782609,-0.35460992907801,-0.17793594306049,0.71301247771836,-0.97345132743364,-1.9660411081323,2.6435733819508,2.2202486678508,0.78192875760208,-0.77586206896552,1.0425716768028,2.9234737747205,-1.0025062656642,0.59071729957806,-1.0906040268456,-0.33927056827819
000027.SZ,0.0,-1.3177159590044,0.59347181008902,-2.212389380531,0.15082956259427,0.45180722891567,-0.29985007496251,-1.9548872180451,0.30674846625768,-0.61162079510703,-0.3076923076923,-0.30864197530865,-0.30959752321981,0.77639751552795,4.1602465331279,-1.4792899408284,-1.951951951952,-0.7656967840735,-0.30864197530865,1.0835913312694,0.3062787136294,-0.91603053435114,-2.3112480739599,0.94637223974764
000028.SZ,2.3584905660377,-2.6497695852535,-0.62130177514791,-0.44656147662997,0.86722488038277,4.387785354284,-2.7833001988072,-0.9348524685948,-3.5092892951932,-1.1002444987775,1.0197775030902,-2.1413276231263,-0.34385745545483,-0.56461731493099,0.53627760252366,-0.37652965171008,0.251968503937,0.69117185045554,-0.093603744149747,-0.15615240474705,0.25023459493274,-1.5600624024961,-1.9651347068146,-0.032331070158416
000029.SZ,-1.1035653650255,-0.9442060085837,2.5996533795494,8.6148648648649,-2.7993779160187,0.079999999999998,2.4780175859313,-1.4820592823713,-3.6421219319082,-1.7255546425637,1.505016722408,-0.24711696869853,-2.0644095788604,-0.92748735244519,3.8297872340425,5.9016393442623,-1.7801857585139,-6.7769897557132,-1.8596787827557,0.8613264427218,0.085397096498717,1.1945392491467,-2.0236087689713,-2.2375215146299
000030.SZ,-0.36496350364964,-2.3809523809524,-1.125703564728,-1.5180265654649,0.77071290944123,0.19120458891013,-0.76335877862595,1.5384615384615,-1.1363636363636,-1.3409961685824,2.1359223300971,-0.95057034220532,-1.3435700575816,-0.77821011673152,3.3333333333333,3.0360531309298,1.6574585635359,-1.6304347826087,0.0,0.73664825046041,-0.73126142595978,-0.1841620626151,-2.2140221402214,0.18867924528301
