thscode,2022-9-9,2022-9-16,2022-9-23,2022-9-30,2022-10-14,2022-10-21,2022-10-28,2022-11-4,2022-11-11,2022-11-18,2022-11-25,2022-12-2,2022-12-9,2022-12-16,2022-12-23,2022-12-30,2023-1-6,2023-1-13,2023-1-20,2023-2-3,2023-2-10,2023-2-17,2023-2-24,2023-3-3,2023-3-10,2023-3-17,2023-3-24,2023-3-31,2023-4-7,2023-4-14,2023-4-21,2023-4-28,2023-5-5,2023-5-12,2023-5-19,2023-5-26,2023-6-2,2023-6-9,2023-6-16,2023-6-21,2023-6-30,2023-7-7,2023-7-14,2023-7-21,2023-7-28,2023-8-4,2023-8-11,2023-8-18,2023-8-25,2023-9-1,2023-9-8
000001.SZ,1.678657074,-1.257861635,-2.149681529,-3.661513426,-2.618243243,-3.81613183,-6.04147881,3.838771593,5.637707948,1.399825022,5.004314064,5.998356615,6.201550388,-2.627737226,-2.698650675,1.386748844,11.09422492,2.257181943,1.204013378,-5.353602115,-2.374301676,-3.934191702,3.201787044,3.102453102,-8.047585724,-2.96803653,0.549019608,-2.262090484,0.718276137,0.554675119,-1.497241923,0.4,2.868525896,-2.246320682,-2.218700475,-1.944894652,-1.404958678,-0.419111484,-2.104377104,-2.407566638,-1.057268722,-0.267141585,2.321428571,-1.047120419,8.11287478,0.326264274,-3.333333333,-2.775441548,-2.85467128,0.801424755,-0.441696113
000002.SZ,8.035714286,-0.826446281,-2.722222222,1.827527127,-4.542905216,-4.876615746,-11.42680667,-2.092050209,12.25071225,-0.697969543,10.67092652,6.177829099,11.25611746,-5.278592375,-3.095975232,-3.088391906,5.604395604,-2.289281998,-1.064962726,-3.283100108,-1.669449082,-3.282399547,0.76067876,-2.380952381,-5.829863177,0.442198358,-0.566037736,-3.605313093,3.805774278,-0.063211125,-3.225806452,-1.045751634,2.642007926,-3.088803089,-3.452855246,-2.2696011,2.18156228,1.033057851,-0.886162236,-4.126547455,0.573888092,-1.069900143,-0.64888248,1.45137881,8.941344778,0.065659882,-4.199475066,-1.98630137,-6.07966457,4.538690476,-0.996441281
000004.SZ,-2.342917998,4.034896401,-9.224318658,-2.540415704,1.303317536,0.81871345,-0.348027842,3.143189756,5.869074492,11.72707889,-4.580152672,0.7,0.099304866,-3.76984127,-3.711340206,3.640256959,-0.723140496,-1.040582726,5.362776025,1.397205589,-0.196850394,-4.437869822,2.167182663,0,1.818181818,-3.075396825,4.503582395,-3.036238981,0.606060606,0.803212851,5.278884462,-0.662251656,7.047619048,-5.160142349,1.407129456,17.7613321,8.955223881,9.300648882,3.298153034,-9.514687101,7.621736062,11.3442623,12.4852768,-3.141361257,-0.162162162,9.366540336,-12.37623762,-5.93220339,-6.906906907,5.161290323,2.699386503
000005.SZ,3.314917127,-5.347593583,0.564971751,-5.617977528,2.380952381,-0.581395349,-4.093567251,4.268292683,4.678362573,-0.558659218,1.685393258,4.419889503,1.587301587,-3.645833333,-0.540540541,1.086956522,1.612903226,-1.058201058,2.139037433,-4.712041885,0.549450549,-2.18579235,0,1.117318436,0.552486188,-1.648351648,1.117318436,-2.209944751,-0.564971751,-1.704545455,-0.578034682,1.744186047,-5.142857143,-10.84337349,-0.675675676,-19.72789116,-14.40677966,12.87128713,5.263157895,-3.333333333,9.482758621,-0.787401575,-3.968253968,3.305785124,4.8,6.106870229,1.438848921,5.673758865,-10.06711409,6.71641791,-0.699300699
000006.SZ,3.695150115,-4.231625835,1.395348837,-5.275229358,1.210653753,-2.153110048,-7.579462103,1.058201058,6.282722513,1.97044335,6.038647343,54.21412301,-19.49778434,3.302752294,4.973357016,6.598984772,-8.888888889,-3.832752613,0.543478261,-1.441441441,7.129798903,-8.532423208,9.701492537,-0.170068027,-3.747870528,-4.601769912,0.371057514,-6.099815157,1.57480315,-0.968992248,-6.26223092,1.043841336,1.859504132,-2.434077079,-3.326403326,1.075268817,1.063829787,1.263157895,-0.415800416,-8.559498956,-0.228310502,1.601830664,-1.126126126,3.872437358,9.429824561,4.008016032,12.33140655,-7.547169811,-1.669758813,-6.41509434,-5.241935484
000007.SZ,-7.517084282,-2.339901478,-0.126103405,1.767676768,-1.488833747,-1.007556675,1.145038168,2.51572327,-0.613496933,0.987654321,-4.645476773,-3.205128205,9.40397351,-2.300242131,-1.858736059,-1.767676768,0.514138817,-1.662404092,-1.820546164,1.986754967,-0.25974026,0.130208333,-0.910273082,1.837270341,-0.257731959,-1.42118863,2.883355177,-2.292993631,-1.434159061,-0.661375661,-9.853528628,-19.49778434,-4.95412844,-19.88416988,9.397590361,-7.929515419,-6.459330144,-3.836317136,0,-6.64893617,27.35042735,3.579418345,11.01511879,-4.085603113,-0.405679513,-3.054989817,9.033613445,-1.734104046,0.196078431,-1.956947162,-4.790419162
000008.SZ,3.75,-6.425702811,-2.145922747,-3.50877193,3.181818182,5.726872247,-5.416666667,4.405286344,5.063291139,-3.614457831,1.25,0.411522634,2.459016393,-3.2,-4.958677686,0,4.782608696,-1.244813278,1.260504202,1.244813278,1.639344262,-1.612903226,4.098360656,1.968503937,-3.861003861,-1.606425703,-1.224489796,-2.066115702,1.265822785,-0.416666667,-1.255230126,0.423728814,6.329113924,-1.984126984,-1.214574899,-5.327868852,3.463203463,-0.836820084,0,-2.109704641,1.724137931,0.847457627,-1.260504202,-0.85106383,3.862660944,1.652892562,-2.845528455,5.857740586,-8.300395257,3.017241379,0.836820084
000009.SZ,-1.722995361,-14.5650708,-3.788476717,-7.957342084,12.56684492,-1.108471892,-9.447558046,10.16799293,3.130016051,5.058365759,-3.925925926,-0.231303007,3.013910355,-4.201050263,-2.349256069,-3.047313553,1.571546733,-2.931596091,2.936241611,1.466992665,3.212851406,-1.556420233,-1.660079051,0.643086817,-3.434504792,-3.308519438,0.171086399,-2.903501281,0.791556728,-0.698080279,-4.042179262,-2.289377289,-1.968134958,4.110898662,2.754820937,1.429848079,6.519823789,-3.556658395,4.202401372,-0.411522634,-0.247933884,-3.148301574,-0.171086399,-2.399314482,2.107111501,-1.203783319,-4.612706701,-2.281021898,-5.78898226,5.153617443,-0.942507069
000010.SZ,3.081232493,-6.793478261,0.583090379,-8.695652174,3.80952381,0.917431193,-7.878787879,3.289473684,3.184713376,-0.308641975,-0.619195046,6.853582555,10.20408163,1.322751323,-3.394255875,1.351351351,3.466666667,-12.62886598,-3.539823009,4.892966361,-0.29154519,-0.584795322,-2.058823529,0.3003003,-2.694610778,-2.153846154,-8.490566038,-3.092783505,-5.319148936,0,-8.61423221,5.327868852,1.945525292,-3.816793893,-2.777777778,-6.12244898,-1.304347826,-0.881057269,-1.333333333,-6.756756757,10.14492754,0.438596491,0.436681223,7.391304348,15.78947368,-2.797202797,-6.474820144,21.53846154,7.594936709,-7.058823529,-7.594936709
000011.SZ,4.83234714,-4.891815616,-2.670623145,-6.605691057,0.652883569,-1.081081081,-2.513661202,7.286995516,8.045977011,0.580270793,2.115384615,7.438794727,13.32164768,-7.88863109,-1.091519731,-1.612903226,-1.380500431,-5.599300087,4.633920297,-0.177147919,3.105590062,-4.733218589,3.52303523,1.570680628,-6.013745704,0.639853748,-0.908265213,-7.332722273,2.077151335,-0.872093023,-2.443792766,-3.106212425,3.309203723,-2.202202202,-1.330603889,-1.970954357,2.010582011,-0.10373444,0.41536864,-4.756980352,0.868621064,2.798708288,-0.217627856,2.94438386,8.792372881,3.505355404,1.881467545,-7.663896584,-1.6,9.044715447,-6.150978565
