thscode,2022-12-30,2023-01-06,2023-01-13,2023-01-20,2023-02-03,2023-02-10,2023-02-17,2023-02-24,2023-03-03,2023-03-10,2023-03-17,2023-03-24,2023-03-31,2023-04-07,2023-04-14,2023-04-21,2023-04-28,2023-05-05,2023-05-12,2023-05-19,2023-05-26,2023-06-02,2023-06-09,2023-06-16,2023-06-21,2023-06-30,2023-07-07,2023-07-14,2023-07-21,2023-07-28,2023-08-04,2023-08-11,2023-08-18,2023-08-25,2023-09-01,2023-09-08,2023-09-15,2023-09-22,2023-09-28,2023-10-13,2023-10-20,2023-10-27,2023-11-03,2023-11-10,2023-11-17,2023-11-24,2023-12-01,2023-12-08,2023-12-15,2023-12-22,2023-12-29
688589.SH,2.4538018782187,7.6286221170905,-0.74175824175823,3.9025740381954,3.2232285562067,0.67096774193548,5.126890540887,-2.145818093148,4.3109892848243,-3.1533683707597,4.588061174149,1.061320754717,-1.2368728121354,6.4981096408318,19.258930552474,-13.841860465116,-3.3038220686677,-5.7615006699419,-5.2369668246446,9.8524631157789,1.5251536535397,-0.82959641255606,-4.747908659281,4.1063375267031,-1.7555859553123,-5.4537015548851,2.4791359842906,9.2694610778443,-6.3787812362999,-4.7061578084758,1.6953316953317,-4.8562454699203,-1.3458608430675,-7.0785070785071,11.024930747922,2.3453093812375,-2.8278888347148,-2.2328148519819,1.1290736463947,4.8211113930475,-7.9399661099008,5.9689718643176,3.5483870967742,0.55116223340523,1.0486177311725,-6.5330188679245,1.6906384052485,-2.4317617866005,2.4923702950153,-5.1612903225806,4.421768707483
688590.SH,2.4598930481283,10.960334029228,-3.3866415804327,7.0107108081792,5.9144676979072,3.6941580756014,-2.6512013256007,0.085106382978722,2.8061224489796,3.3085194375517,3.0424339471577,8.1585081585082,-3.9511494252874,6.207928197457,-5.9154929577465,-10.62874251497,2.5963149078727,4.8979591836735,18.910505836576,-4.9083769633508,10.529938059188,36.92403486924,-0.31832651205092,-0.50182481751826,12.425492893168,-7.300163132137,1.847778266608,10.97192224622,-9.9260412611911,-4.4943820224719,10.633484162896,-7.239263803681,-7.0546737213404,-12.096774193548,8.9584457636266,-9.1134224863794,-4.6321525885559,2.1714285714286,4.7539149888143,-6.086492258409,-4.3206367254122,-0.95068330362446,4.6790641871626,8.2521489971347,4.4467972472208,-3.750633552965,7.161664033702,10.958230958231,-4.295837023915,2.9153169828783,1.7086330935252
688591.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.904723779023,12.385321100917,2.3401360544218,-11.167242754587,3.4420832086202,-4.7743055555556,-0.69887572166514,-8.4761321909425,0.23403543965229,2.6684456304203,3.5087719298246,5.9635907093534,-9.6563981042654,-0.81967213114754,-2.8429752066116,0.17012589316094,-4.2798913043478,3.1582682753726
688592.SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.435643564356,-30.379746835443,21.454545454545,20.359281437126,-21.57960199005,-1.5067406819984,-3.2045088566828,0.6820828481118,-2.2967614011897,2.5029595805851,-7.1275367101138,3.2332563510393,6.6942006539322,-1.0,-5.9628543499511,-2.979902979903,-3.6071428571429,-4.6869210818822,0.87463556851311
688593.SH,,,,,,,,,,,,,,,,,,,,,,92.397137745975,-2.835890283589,-5.8851674641148,-10.371123538383,-2.9495178672717,1.9286966686149,1.4908256880734,-3.0508474576271,-1.4568764568765,-0.29568302779421,-1.1862396204033,-3.3013205282113,-11.111111111111,24.09217877095,-4.7833427124367,-8.5106382978723,-2.1963824289406,-0.92470277410833,-0.66666666666666,-4.7651006711409,3.1712473572939,3.6885245901639,5.0724637681159,3.3855799373041,-7.0345664038811,-1.2393998695369,-1.9154557463672,-1.9528619528619,-3.2967032967033,4.5454545454545
688595.SH,9.5886679378916,3.5545612726821,5.1128180508881,6.576844028317,1.7784443968288,1.3473684210526,-9.7839634399668,-0.71379230946351,-0.39424860853431,3.0500582072177,-0.36150022593763,6.3718820861678,1.1511404817736,8.40885142255,-5.4237947122862,-15.51901336074,-8.9537712895377,-7.8033137359701,-4.4927536231884,7.1320182094082,2.0963172804533,0.61043285238623,-7.611693325979,2.4179104477612,-3.9638589332556,-2.9438543247345,5.5659787367104,3.1990521327014,-7.060849598163,-3.4280420012353,10.968979852894,-10.432276657061,-9.5881595881596,-6.0498220640569,9.0530303030303,5.9048280653004,-3.0829780255822,-2.7072758037225,0.38260869565217,14.726264726265,-6.0404711567502,16.104146576663,11.129568106312,-1.9182859990035,9.3218186436373,-7.3187732342007,1.2033091000251,-0.44587565023532,2.7867628763374,-5.5918663761801,11.025641025641
688596.SH,5.4347826086957,5.4491899852724,3.6871508379888,1.1584051724138,-4.0479360852197,-3.413821815154,-6.7241379310345,3.9125077017868,-1.1858879335903,15.511551155116,0.31168831168831,-10.150181253237,1.2103746397694,25.284738041002,6.6590909090909,-4.133816322182,-6.8237386085797,-5.6297709923664,-5.5864509605662,7.8982597054886,-3.4491315136476,-5.2942688254947,0.94979647218454,11.962365591398,-2.953181272509,7.1251855517071,-7.1362586605081,-5.0982342700821,-4.9528301886792,-5.1006341328922,1.5107495642068,-5.5809959931311,-5.2743255531979,5.568,11.91270081843,-0.43336944745396,-1.0609357997824,-6.3788836953533,9.5447870778267,4.0750670241287,-5.2035033487893,3.3967391304348,-2.023653088042,3.8894849785408,-1.1877097856958,2.2210608831983,3.5276073619632,5.1604938271605,-6.3160366283165,-2.8320802005012,2.2182099561517
688597.SH,7.4285714285714,1.5957446808511,1.3089005235602,-4.0697674418605,4.3097643097643,7.2950290510007,-2.5872442839952,1.1117974058061,-4.70372632865,-0.76923076923076,-3.9405684754522,1.546738399462,-5.8940397350993,0.84447572132301,-0.76762037683182,-10.618846694796,0.55074744295829,0.15649452269172,-28.90625,14.175824175824,1.4436958614052,-2.9411764705882,-8.4066471163245,3.735325506937,-0.92592592592592,4.8805815160955,-0.29702970297029,-0.89374379344588,-7.9158316633267,0.32644178454843,-0.54229934924079,-3.9258451472192,-1.3620885357548,-3.7974683544304,4.5454545454546,0.22883295194508,-3.310502283105,1.5348288075561,1.046511627907,-2.6467203682393,-1.7730496453901,3.3694344163658,2.7939464493597,1.5855039637599,1.2263099219621,-2.0925110132159,1.2373453318335,-1.7777777777778,0.0,-1.6968325791855,4.7180667433832
688598.SH,3.9204545454545,6.5245124840532,3.0667236954662,2.0251483587169,-0.34573927191377,-3.5551020408163,-5.1800753311609,-2.3476902477126,-12.838795191736,-4.1059255374934,-5.2769727128561,-0.1154601085325,8.4556698647555,-0.079936051159076,2.9653333333333,-14.337511654408,6.1978473817874,-5.397711097193,-3.1718326813121,-2.4490303331676,-4.7088059130878,0.70879304580408,-9.1361795365514,14.724150529777,-2.5477707006369,12.091503267974,-2.6822157434402,-32.57639304973,2.4971118812761,-0.50286110629443,0.32241199024049,-8.6250325718753,-12.851711026616,-9.2168411867365,-0.93716208098042,-5.2759248029109,-1.8181818181818,0.67814293166405,2.9274611398964,5.5751321419582,3.4807485993563,-4.1585070844373,-8.0528846153846,8.3660130718954,-4.5114595898673,4.0803436078828,-5.1098434276004,-6.7408544384753,-15.251680153614,6.2631493769218,6.4575083764849
688599.SH,18.315086286881,10.539523212045,0.45402951191826,0.28248587570622,-6.5352112676056,-0.72332730560579,-5.2823315118397,-2.6282051282051,-2.3535220539829,-4.5171077026799,-6.072374227714,-2.4431497838752,0.34675399730304,-2.8412363217508,-3.3787788974511,-2.7811860940695,3.4917963819941,-3.4552845528455,-6.7578947368421,3.9738089862271,4.6036916395223,-19.431181233133,-2.7312548312291,12.927152317881,-0.8913910391743,0.85207100591716,-11.311898615349,-1.2437152685896,-4.0728831725616,5.9497206703911,-0.7382019509623,-3.2934926958831,-4.2021422686075,-1.8922018348624,-1.7825832846289,-9.1936923534662,-1.605504587156,0.79920079920079,0.99108027750248,-3.4020281321557,-2.3027429732475,3.7781629116118,-2.939211756847,6.7446662078458,-1.8375241779497,-4.991789819376,-7.4662979605945,-1.0833022039597,-4.1918429003021,4.0204966495861,8.1091322470633
