time,000852.SH,000905.SH,399300.SZ,700008.TI
2023-05-09,2.3802439063062,1.8935833108486,0.95471062333981,1.6159935609562
2023-05-10,1.8849940403179,1.48062319375,0.70944663436314,1.2872429153372
2023-05-11,1.704251669567,1.2312521092813,0.49496414680481,1.1282394370972
2023-05-12,1.6765611620082,1.1830284686262,0.49366046271312,1.0920646330403
2023-05-15,1.7614820610411,1.26229281145,0.60240115362177,1.1803922958435
2023-05-16,1.5569270732486,1.026391545501,0.46758516284587,1.0313688311127
2023-05-17,1.3748438866588,0.90344001907231,0.40475965905076,0.93345211874564
2023-05-18,1.5764183081533,1.035470002411,0.46656197505912,1.0388836708679
2023-05-19,1.4782996578,1.0041033271046,0.41078847297492,0.97409257252538
2023-05-22,1.4315992084149,0.94864597936072,0.37287126222419,0.94417900493154
2023-05-23,1.4023044380669,0.9350851706218,0.40557486716866,0.93793220442278
2023-05-24,1.372310346102,0.9023708452128,0.46904179722209,0.96579366859825
2023-05-25,1.4808504338136,0.9250873311455,0.42424020354494,1.0075686175682
2023-05-26,1.3760485290406,0.8953412558198,0.34276529843365,0.94413055696203
2023-05-29,1.6584555535264,1.052796514067,0.45049190726771,1.0572677412896
2023-05-30,1.6453729892824,1.0712037682947,0.47016931723179,1.0694928105405
2023-05-31,1.5544604900765,0.98822216660454,0.43177982580998,1.0409394567112
2023-06-01,1.6733865015038,1.0620373648617,0.45954815826953,1.1151301160264
2023-06-02,1.6216768711976,1.0286444188909,0.42691305902131,1.0690753266497
2023-06-05,1.4869817628416,0.97322598970771,0.39644093248024,0.9965608459705
2023-06-06,1.643120356418,1.034551733166,0.42926240881907,1.1026270365578
2023-06-07,1.4221173700354,0.78662569159736,0.33741886721292,0.92479554792665
2023-06-08,1.4605282310492,0.91591540969768,0.40484187168577,1.0107175288325
2023-06-09,1.6361182446734,1.0699157997376,0.45806193348101,1.0959904443971
